type1,type2,spritepath_front,spritepath_back
Water,,pokemon_images/sprites/0532-Shellos-422/front/normal,pokemon_images/sprites/0532-Shellos-422/back/normal
Water,Ground,pokemon_images/sprites/0533-Gastrodon-423/front/normal,pokemon_images/sprites/0533-Gastrodon-423/back/normal
Normal,,pokemon_images/sprites/0534-Ambipom-424/front/normal,pokemon_images/sprites/0534-Ambipom-424/back/normal
Ghost,Flying,pokemon_images/sprites/0535-Drifloon-425/front/normal,pokemon_images/sprites/0535-Drifloon-425/back/normal
Ghost,Flying,pokemon_images/sprites/0536-Drifblim-426/front/normal,pokemon_images/sprites/0536-Drifblim-426/back/normal
Normal,,pokemon_images/sprites/0537-Buneary-427/front/normal,pokemon_images/sprites/0537-Buneary-427/back/normal
Normal,,pokemon_images/sprites/0538-Lopunny-428/front/normal,pokemon_images/sprites/0538-Lopunny-428/back/normal
Ghost,,pokemon_images/sprites/0540-Mismagius-429/front/normal,pokemon_images/sprites/0540-Mismagius-429/back/normal
Dark,Flying,pokemon_images/sprites/0541-Honchkrow-430/front/normal,pokemon_images/sprites/0541-Honchkrow-430/back/normal
Normal,,pokemon_images/sprites/0542-Glameow-431/front/normal,pokemon_images/sprites/0542-Glameow-431/back/normal
Normal,,pokemon_images/sprites/0543-Purugly-432/front/normal,pokemon_images/sprites/0543-Purugly-432/back/normal
Psychic,,pokemon_images/sprites/0544-Chingling-433/front/normal,pokemon_images/sprites/0544-Chingling-433/back/normal
Poison,Dark,pokemon_images/sprites/0545-Stunky-434/front/normal,pokemon_images/sprites/0545-Stunky-434/back/normal
Poison,Dark,pokemon_images/sprites/0546-Skuntank-435/front/normal,pokemon_images/sprites/0546-Skuntank-435/back/normal
Steel,Psychic,pokemon_images/sprites/0547-Bronzor-436/front/normal,pokemon_images/sprites/0547-Bronzor-436/back/normal
Steel,Psychic,pokemon_images/sprites/0548-Bronzong-437/front/normal,pokemon_images/sprites/0548-Bronzong-437/back/normal
Rock,,pokemon_images/sprites/0549-Bonsly-438/front/normal,pokemon_images/sprites/0549-Bonsly-438/back/normal
Psychic,Fairy,pokemon_images/sprites/0550-Mime Jr-439/front/normal,pokemon_images/sprites/0550-Mime Jr-439/back/normal
Normal,,pokemon_images/sprites/0551-Happiny-440/front/normal,pokemon_images/sprites/0551-Happiny-440/back/normal
Normal,Flying,pokemon_images/sprites/0552-Chatot-441/front/normal,pokemon_images/sprites/0552-Chatot-441/back/normal
Ghost,Dark,pokemon_images/sprites/0553-Spiritomb-442/front/normal,pokemon_images/sprites/0553-Spiritomb-442/back/normal
Dragon,Ground,pokemon_images/sprites/0554-Gible-443/front/normal,pokemon_images/sprites/0554-Gible-443/back/normal
Dragon,Ground,pokemon_images/sprites/0555-Gabite-444/front/normal,pokemon_images/sprites/0555-Gabite-444/back/normal
Dragon,Ground,pokemon_images/sprites/0556-Garchomp-445/front/normal,pokemon_images/sprites/0556-Garchomp-445/back/normal
Normal,,pokemon_images/sprites/0558-Munchlax-446/front/normal,pokemon_images/sprites/0558-Munchlax-446/back/normal
Fighting,,pokemon_images/sprites/0559-Riolu-447/front/normal,pokemon_images/sprites/0559-Riolu-447/back/normal
Fighting,Steel,pokemon_images/sprites/0560-Lucario-448/front/normal,pokemon_images/sprites/0560-Lucario-448/back/normal
Ground,,pokemon_images/sprites/0562-Hippopotas-449/front/normal,pokemon_images/sprites/0562-Hippopotas-449/back/normal
Ground,,pokemon_images/sprites/0563-Hippowdon-450/front/normal,pokemon_images/sprites/0563-Hippowdon-450/back/normal
Poison,Bug,pokemon_images/sprites/0564-Skorupi-451/front/normal,pokemon_images/sprites/0564-Skorupi-451/back/normal
Poison,Dark,pokemon_images/sprites/0565-Drapion-452/front/normal,pokemon_images/sprites/0565-Drapion-452/back/normal
Poison,Fighting,pokemon_images/sprites/0566-Croagunk-453/front/normal,pokemon_images/sprites/0566-Croagunk-453/back/normal
Poison,Fighting,pokemon_images/sprites/0567-Toxicroak-454/front/normal,pokemon_images/sprites/0567-Toxicroak-454/back/normal
Grass,,pokemon_images/sprites/0568-Carnivine-455/front/normal,pokemon_images/sprites/0568-Carnivine-455/back/normal
Water,,pokemon_images/sprites/0569-Finneon-456/front/normal,pokemon_images/sprites/0569-Finneon-456/back/normal
Water,,pokemon_images/sprites/0570-Lumineon-457/front/normal,pokemon_images/sprites/0570-Lumineon-457/back/normal
Water,Flying,pokemon_images/sprites/0571-Mantyke-458/front/normal,pokemon_images/sprites/0571-Mantyke-458/back/normal
Grass,Ice,pokemon_images/sprites/0572-Snover-459/front/normal,pokemon_images/sprites/0572-Snover-459/back/normal
Grass,Ice,pokemon_images/sprites/0573-Abomasnow-460/front/normal,pokemon_images/sprites/0573-Abomasnow-460/back/normal
Dark,Ice,pokemon_images/sprites/0575-Weavile-461/front/normal,pokemon_images/sprites/0575-Weavile-461/back/normal
Electric,Steel,pokemon_images/sprites/0576-Magnezone-462/front/normal,pokemon_images/sprites/0576-Magnezone-462/back/normal
Normal,,pokemon_images/sprites/0577-Lickilicky-463/front/normal,pokemon_images/sprites/0577-Lickilicky-463/back/normal
Ground,Rock,pokemon_images/sprites/0578-Rhyperior-464/front/normal,pokemon_images/sprites/0578-Rhyperior-464/back/normal
Grass,,pokemon_images/sprites/0579-Tangrowth-465/front/normal,pokemon_images/sprites/0579-Tangrowth-465/back/normal
Electric,,pokemon_images/sprites/0580-Electivire-466/front/normal,pokemon_images/sprites/0580-Electivire-466/back/normal
Fire,,pokemon_images/sprites/0581-Magmortar-467/front/normal,pokemon_images/sprites/0581-Magmortar-467/back/normal
Fairy,Flying,pokemon_images/sprites/0582-Togekiss-468/front/normal,pokemon_images/sprites/0582-Togekiss-468/back/normal
Bug,Flying,pokemon_images/sprites/0583-Yanmega-469/front/normal,pokemon_images/sprites/0583-Yanmega-469/back/normal
Grass,,pokemon_images/sprites/0584-Leafeon-470/front/normal,pokemon_images/sprites/0584-Leafeon-470/back/normal
Ice,,pokemon_images/sprites/0585-Glaceon-471/front/normal,pokemon_images/sprites/0585-Glaceon-471/back/normal
Ground,Flying,pokemon_images/sprites/0586-Gliscor-472/front/normal,pokemon_images/sprites/0586-Gliscor-472/back/normal
Ice,Ground,pokemon_images/sprites/0587-Mamoswine-473/front/normal,pokemon_images/sprites/0587-Mamoswine-473/back/normal
Normal,,pokemon_images/sprites/0588-Porygon Z-474/front/normal,pokemon_images/sprites/0588-Porygon Z-474/back/normal
Psychic,Fighting,pokemon_images/sprites/0589-Gallade-475/front/normal,pokemon_images/sprites/0589-Gallade-475/back/normal
Rock,Steel,pokemon_images/sprites/0591-Probopass-476/front/normal,pokemon_images/sprites/0591-Probopass-476/back/normal
Ghost,,pokemon_images/sprites/0592-Dusknoir-477/front/normal,pokemon_images/sprites/0592-Dusknoir-477/back/normal
Ice,Ghost,pokemon_images/sprites/0593-Froslass-478/front/normal,pokemon_images/sprites/0593-Froslass-478/back/normal
Electric,Ghost,pokemon_images/sprites/0594-Rotom-479/front/normal,pokemon_images/sprites/0594-Rotom-479/back/normal
Electric,Flying,pokemon_images/sprites/0595-Rotom Fan-479/front/normal,pokemon_images/sprites/0595-Rotom Fan-479/back/normal
Electric,Ice,pokemon_images/sprites/0596-Rotom Frost-479/front/normal,pokemon_images/sprites/0596-Rotom Frost-479/back/normal
Electric,Fire,pokemon_images/sprites/0597-Rotom Heat-479/front/normal,pokemon_images/sprites/0597-Rotom Heat-479/back/normal
Electric,Grass,pokemon_images/sprites/0598-Rotom Mow-479/front/normal,pokemon_images/sprites/0598-Rotom Mow-479/back/normal
Electric,Water,pokemon_images/sprites/0599-Rotom Wash-479/front/normal,pokemon_images/sprites/0599-Rotom Wash-479/back/normal
Psychic,,pokemon_images/sprites/0600-Uxie-480/front/normal,pokemon_images/sprites/0600-Uxie-480/back/normal
Psychic,,pokemon_images/sprites/0601-Mesprit-481/front/normal,pokemon_images/sprites/0601-Mesprit-481/back/normal
Psychic,,pokemon_images/sprites/0602-Azelf-482/front/normal,pokemon_images/sprites/0602-Azelf-482/back/normal
Steel,Dragon,pokemon_images/sprites/0603-Dialga-483/front/normal,pokemon_images/sprites/0603-Dialga-483/back/normal
Water,Dragon,pokemon_images/sprites/0604-Palkia-484/front/normal,pokemon_images/sprites/0604-Palkia-484/back/normal
Fire,Steel,pokemon_images/sprites/0605-Heatran-485/front/normal,pokemon_images/sprites/0605-Heatran-485/back/normal
Normal,,pokemon_images/sprites/0606-Regigigas-486/front/normal,pokemon_images/sprites/0606-Regigigas-486/back/normal
Ghost,Dragon,pokemon_images/sprites/0607-Giratina Altered-487/front/normal,pokemon_images/sprites/0607-Giratina Altered-487/back/normal
Ghost,Dragon,pokemon_images/sprites/0608-Giratina Origin-487/front/normal,pokemon_images/sprites/0608-Giratina Origin-487/back/normal
Psychic,,pokemon_images/sprites/0609-Cresselia-488/front/normal,pokemon_images/sprites/0609-Cresselia-488/back/normal
Water,,pokemon_images/sprites/0610-Phione-489/front/normal,pokemon_images/sprites/0610-Phione-489/back/normal
Water,,pokemon_images/sprites/0611-Manaphy-490/front/normal,pokemon_images/sprites/0611-Manaphy-490/back/normal
Dark,,pokemon_images/sprites/0612-Darkrai-491/front/normal,pokemon_images/sprites/0612-Darkrai-491/back/normal
Grass,,pokemon_images/sprites/0613-Shaymin Land-492/front/normal,pokemon_images/sprites/0613-Shaymin Land-492/back/normal
Grass,Flying,pokemon_images/sprites/0614-Shaymin Sky-492/front/normal,pokemon_images/sprites/0614-Shaymin Sky-492/back/normal
Normal,,pokemon_images/sprites/0615-Arceus-493/front/normal,pokemon_images/sprites/0615-Arceus-493/back/normal
Psychic,Fire,pokemon_images/sprites/0616-Victini-494/front/normal,pokemon_images/sprites/0616-Victini-494/back/normal
Grass,,pokemon_images/sprites/0617-Snivy-495/front/normal,pokemon_images/sprites/0617-Snivy-495/back/normal
Grass,,pokemon_images/sprites/0618-Servine-496/front/normal,pokemon_images/sprites/0618-Servine-496/back/normal
Grass,,pokemon_images/sprites/0619-Serperior-497/front/normal,pokemon_images/sprites/0619-Serperior-497/back/normal
Fire,,pokemon_images/sprites/0620-Tepig-498/front/normal,pokemon_images/sprites/0620-Tepig-498/back/normal
Fire,Fighting,pokemon_images/sprites/0621-Pignite-499/front/normal,pokemon_images/sprites/0621-Pignite-499/back/normal
Fire,Fighting,pokemon_images/sprites/0622-Emboar-500/front/normal,pokemon_images/sprites/0622-Emboar-500/back/normal
Water,,pokemon_images/sprites/0623-Oshawott-501/front/normal,pokemon_images/sprites/0623-Oshawott-501/back/normal
Water,,pokemon_images/sprites/0624-Dewott-502/front/normal,pokemon_images/sprites/0624-Dewott-502/back/normal
Water,,pokemon_images/sprites/0625-Samurott-503/front/normal,pokemon_images/sprites/0625-Samurott-503/back/normal
Normal,,pokemon_images/sprites/0626-Patrat-504/front/normal,pokemon_images/sprites/0626-Patrat-504/back/normal
Normal,,pokemon_images/sprites/0627-Watchog-505/front/normal,pokemon_images/sprites/0627-Watchog-505/back/normal
Normal,,pokemon_images/sprites/0628-Lillipup-506/front/normal,pokemon_images/sprites/0628-Lillipup-506/back/normal
Normal,,pokemon_images/sprites/0629-Herdier-507/front/normal,pokemon_images/sprites/0629-Herdier-507/back/normal
Normal,,pokemon_images/sprites/0630-Stoutland-508/front/normal,pokemon_images/sprites/0630-Stoutland-508/back/normal
Dark,,pokemon_images/sprites/0631-Purrloin-509/front/normal,pokemon_images/sprites/0631-Purrloin-509/back/normal
Dark,,pokemon_images/sprites/0632-Liepard-510/front/normal,pokemon_images/sprites/0632-Liepard-510/back/normal
Grass,,pokemon_images/sprites/0633-Pansage-511/front/normal,pokemon_images/sprites/0633-Pansage-511/back/normal
Grass,,pokemon_images/sprites/0634-Simisage-512/front/normal,pokemon_images/sprites/0634-Simisage-512/back/normal
Fire,,pokemon_images/sprites/0635-Pansear-513/front/normal,pokemon_images/sprites/0635-Pansear-513/back/normal
Fire,,pokemon_images/sprites/0636-Simisear-514/front/normal,pokemon_images/sprites/0636-Simisear-514/back/normal
Water,,pokemon_images/sprites/0637-Panpour-515/front/normal,pokemon_images/sprites/0637-Panpour-515/back/normal
Water,,pokemon_images/sprites/0638-Simipour-516/front/normal,pokemon_images/sprites/0638-Simipour-516/back/normal
Psychic,,pokemon_images/sprites/0639-Munna-517/front/normal,pokemon_images/sprites/0639-Munna-517/back/normal
Psychic,,pokemon_images/sprites/0640-Musharna-518/front/normal,pokemon_images/sprites/0640-Musharna-518/back/normal
Normal,Flying,pokemon_images/sprites/0641-Pidove-519/front/normal,pokemon_images/sprites/0641-Pidove-519/back/normal
Normal,Flying,pokemon_images/sprites/0642-Tranquill-520/front/normal,pokemon_images/sprites/0642-Tranquill-520/back/normal
Normal,Flying,pokemon_images/sprites/0643-Unfezant-521/front/normal,pokemon_images/sprites/0643-Unfezant-521/back/normal
Electric,,pokemon_images/sprites/0644-Blitzle-522/front/normal,pokemon_images/sprites/0644-Blitzle-522/back/normal
Electric,,pokemon_images/sprites/0645-Zebstrika-523/front/normal,pokemon_images/sprites/0645-Zebstrika-523/back/normal
Rock,,pokemon_images/sprites/0646-Roggenrola-524/front/normal,pokemon_images/sprites/0646-Roggenrola-524/back/normal
Rock,,pokemon_images/sprites/0647-Boldore-525/front/normal,pokemon_images/sprites/0647-Boldore-525/back/normal
Rock,,pokemon_images/sprites/0648-Gigalith-526/front/normal,pokemon_images/sprites/0648-Gigalith-526/back/normal
Psychic,Flying,pokemon_images/sprites/0649-Woobat-527/front/normal,pokemon_images/sprites/0649-Woobat-527/back/normal
Psychic,Flying,pokemon_images/sprites/0650-Swoobat-528/front/normal,pokemon_images/sprites/0650-Swoobat-528/back/normal
Ground,,pokemon_images/sprites/0651-Drilbur-529/front/normal,pokemon_images/sprites/0651-Drilbur-529/back/normal
Ground,Steel,pokemon_images/sprites/0652-Excadrill-530/front/normal,pokemon_images/sprites/0652-Excadrill-530/back/normal
Normal,,pokemon_images/sprites/0653-Audino-531/front/normal,pokemon_images/sprites/0653-Audino-531/back/normal
Fighting,,pokemon_images/sprites/0655-Timburr-532/front/normal,pokemon_images/sprites/0655-Timburr-532/back/normal
Fighting,,pokemon_images/sprites/0656-Gurdurr-533/front/normal,pokemon_images/sprites/0656-Gurdurr-533/back/normal
Fighting,,pokemon_images/sprites/0657-Conkeldurr-534/front/normal,pokemon_images/sprites/0657-Conkeldurr-534/back/normal
Water,,pokemon_images/sprites/0658-Tympole-535/front/normal,pokemon_images/sprites/0658-Tympole-535/back/normal
Water,Ground,pokemon_images/sprites/0659-Palpitoad-536/front/normal,pokemon_images/sprites/0659-Palpitoad-536/back/normal
Water,Ground,pokemon_images/sprites/0660-Seismitoad-537/front/normal,pokemon_images/sprites/0660-Seismitoad-537/back/normal
Fighting,,pokemon_images/sprites/0661-Throh-538/front/normal,pokemon_images/sprites/0661-Throh-538/back/normal
Fighting,,pokemon_images/sprites/0662-Sawk-539/front/normal,pokemon_images/sprites/0662-Sawk-539/back/normal
Bug,Grass,pokemon_images/sprites/0663-Sewaddle-540/front/normal,pokemon_images/sprites/0663-Sewaddle-540/back/normal
Bug,Grass,pokemon_images/sprites/0664-Swadloon-541/front/normal,pokemon_images/sprites/0664-Swadloon-541/back/normal
Bug,Grass,pokemon_images/sprites/0665-Leavanny-542/front/normal,pokemon_images/sprites/0665-Leavanny-542/back/normal
Bug,Poison,pokemon_images/sprites/0666-Venipede-543/front/normal,pokemon_images/sprites/0666-Venipede-543/back/normal
Bug,Poison,pokemon_images/sprites/0667-Whirlipede-544/front/normal,pokemon_images/sprites/0667-Whirlipede-544/back/normal
Bug,Poison,pokemon_images/sprites/0668-Scolipede-545/front/normal,pokemon_images/sprites/0668-Scolipede-545/back/normal
Grass,Fairy,pokemon_images/sprites/0669-Cottonee-546/front/normal,pokemon_images/sprites/0669-Cottonee-546/back/normal
Grass,Fairy,pokemon_images/sprites/0670-Whimsicott-547/front/normal,pokemon_images/sprites/0670-Whimsicott-547/back/normal
Grass,,pokemon_images/sprites/0671-Petilil-548/front/normal,pokemon_images/sprites/0671-Petilil-548/back/normal
Grass,,pokemon_images/sprites/0672-Lilligant-549/front/normal,pokemon_images/sprites/0672-Lilligant-549/back/normal
Water,,pokemon_images/sprites/0673-Basculin Blue Striped-550/front/normal,pokemon_images/sprites/0673-Basculin Blue Striped-550/back/normal
Water,,pokemon_images/sprites/0674-Basculin Red Striped-550/front/normal,pokemon_images/sprites/0674-Basculin Red Striped-550/back/normal
Ground,Dark,pokemon_images/sprites/0675-Sandile-551/front/normal,pokemon_images/sprites/0675-Sandile-551/back/normal
Ground,Dark,pokemon_images/sprites/0676-Krokorok-552/front/normal,pokemon_images/sprites/0676-Krokorok-552/back/normal
Ground,Dark,pokemon_images/sprites/0677-Krookodile-553/front/normal,pokemon_images/sprites/0677-Krookodile-553/back/normal
Fire,,pokemon_images/sprites/0678-Darumaka-554/front/normal,pokemon_images/sprites/0678-Darumaka-554/back/normal
Ice,,pokemon_images/sprites/0679-Darumaka Galar-554/front/normal,pokemon_images/sprites/0679-Darumaka Galar-554/back/normal
Fire,,pokemon_images/sprites/0680-Darmanitan Standard-555/front/normal,pokemon_images/sprites/0680-Darmanitan Standard-555/back/normal
Ice,,pokemon_images/sprites/0681-Darmanitan Standard Galar-555/front/normal,pokemon_images/sprites/0681-Darmanitan Standard Galar-555/back/normal
Fire,Psychic,pokemon_images/sprites/0682-Darmanitan Zen-555/front/normal,pokemon_images/sprites/0682-Darmanitan Zen-555/back/normal
Ice,Fire,pokemon_images/sprites/0683-Darmanitan Zen Galar-555/front/normal,pokemon_images/sprites/0683-Darmanitan Zen Galar-555/back/normal
Grass,,pokemon_images/sprites/0684-Maractus-556/front/normal,pokemon_images/sprites/0684-Maractus-556/back/normal
Bug,Rock,pokemon_images/sprites/0685-Dwebble-557/front/normal,pokemon_images/sprites/0685-Dwebble-557/back/normal
Bug,Rock,pokemon_images/sprites/0686-Crustle-558/front/normal,pokemon_images/sprites/0686-Crustle-558/back/normal
Dark,Fighting,pokemon_images/sprites/0687-Scraggy-559/front/normal,pokemon_images/sprites/0687-Scraggy-559/back/normal
Dark,Fighting,pokemon_images/sprites/0688-Scrafty-560/front/normal,pokemon_images/sprites/0688-Scrafty-560/back/normal
Psychic,Flying,pokemon_images/sprites/0689-Sigilyph-561/front/normal,pokemon_images/sprites/0689-Sigilyph-561/back/normal
Ghost,,pokemon_images/sprites/0690-Yamask-562/front/normal,pokemon_images/sprites/0690-Yamask-562/back/normal
Ground,Ghost,pokemon_images/sprites/0691-Yamask Galar-562/front/normal,pokemon_images/sprites/0691-Yamask Galar-562/back/normal
Ghost,,pokemon_images/sprites/0692-Cofagrigus-563/front/normal,pokemon_images/sprites/0692-Cofagrigus-563/back/normal
Water,Rock,pokemon_images/sprites/0693-Tirtouga-564/front/normal,pokemon_images/sprites/0693-Tirtouga-564/back/normal
Water,Rock,pokemon_images/sprites/0694-Carracosta-565/front/normal,pokemon_images/sprites/0694-Carracosta-565/back/normal
Rock,Flying,pokemon_images/sprites/0695-Archen-566/front/normal,pokemon_images/sprites/0695-Archen-566/back/normal
Rock,Flying,pokemon_images/sprites/0696-Archeops-567/front/normal,pokemon_images/sprites/0696-Archeops-567/back/normal
Poison,,pokemon_images/sprites/0697-Trubbish-568/front/normal,pokemon_images/sprites/0697-Trubbish-568/back/normal
Poison,,pokemon_images/sprites/0698-Garbodor-569/front/normal,pokemon_images/sprites/0698-Garbodor-569/back/normal
Dark,,pokemon_images/sprites/0700-Zorua-570/front/normal,pokemon_images/sprites/0700-Zorua-570/back/normal
Dark,,pokemon_images/sprites/0701-Zoroark-571/front/normal,pokemon_images/sprites/0701-Zoroark-571/back/normal
Normal,,pokemon_images/sprites/0702-Minccino-572/front/normal,pokemon_images/sprites/0702-Minccino-572/back/normal
Normal,,pokemon_images/sprites/0703-Cinccino-573/front/normal,pokemon_images/sprites/0703-Cinccino-573/back/normal
Psychic,,pokemon_images/sprites/0704-Gothita-574/front/normal,pokemon_images/sprites/0704-Gothita-574/back/normal
Psychic,,pokemon_images/sprites/0705-Gothorita-575/front/normal,pokemon_images/sprites/0705-Gothorita-575/back/normal
Psychic,,pokemon_images/sprites/0706-Gothitelle-576/front/normal,pokemon_images/sprites/0706-Gothitelle-576/back/normal
Psychic,,pokemon_images/sprites/0707-Solosis-577/front/normal,pokemon_images/sprites/0707-Solosis-577/back/normal
Psychic,,pokemon_images/sprites/0708-Duosion-578/front/normal,pokemon_images/sprites/0708-Duosion-578/back/normal
Psychic,,pokemon_images/sprites/0709-Reuniclus-579/front/normal,pokemon_images/sprites/0709-Reuniclus-579/back/normal
Water,Flying,pokemon_images/sprites/0710-Ducklett-580/front/normal,pokemon_images/sprites/0710-Ducklett-580/back/normal
Water,Flying,pokemon_images/sprites/0711-Swanna-581/front/normal,pokemon_images/sprites/0711-Swanna-581/back/normal
Ice,,pokemon_images/sprites/0712-Vanillite-582/front/normal,pokemon_images/sprites/0712-Vanillite-582/back/normal
Ice,,pokemon_images/sprites/0713-Vanillish-583/front/normal,pokemon_images/sprites/0713-Vanillish-583/back/normal
Ice,,pokemon_images/sprites/0714-Vanilluxe-584/front/normal,pokemon_images/sprites/0714-Vanilluxe-584/back/normal
Normal,Grass,pokemon_images/sprites/0715-Deerling-585/front/normal,pokemon_images/sprites/0715-Deerling-585/back/normal
Normal,Grass,pokemon_images/sprites/0716-Sawsbuck-586/front/normal,pokemon_images/sprites/0716-Sawsbuck-586/back/normal
Electric,Flying,pokemon_images/sprites/0717-Emolga-587/front/normal,pokemon_images/sprites/0717-Emolga-587/back/normal
Bug,,pokemon_images/sprites/0718-Karrablast-588/front/normal,pokemon_images/sprites/0718-Karrablast-588/back/normal
Bug,Steel,pokemon_images/sprites/0719-Escavalier-589/front/normal,pokemon_images/sprites/0719-Escavalier-589/back/normal
Grass,Poison,pokemon_images/sprites/0720-Foongus-590/front/normal,pokemon_images/sprites/0720-Foongus-590/back/normal
Grass,Poison,pokemon_images/sprites/0721-Amoonguss-591/front/normal,pokemon_images/sprites/0721-Amoonguss-591/back/normal
Water,Ghost,pokemon_images/sprites/0722-Frillish-592/front/normal,pokemon_images/sprites/0722-Frillish-592/back/normal
Water,Ghost,pokemon_images/sprites/0723-Jellicent-593/front/normal,pokemon_images/sprites/0723-Jellicent-593/back/normal
Water,,pokemon_images/sprites/0724-Alomomola-594/front/normal,pokemon_images/sprites/0724-Alomomola-594/back/normal
Bug,Electric,pokemon_images/sprites/0725-Joltik-595/front/normal,pokemon_images/sprites/0725-Joltik-595/back/normal
Bug,Electric,pokemon_images/sprites/0726-Galvantula-596/front/normal,pokemon_images/sprites/0726-Galvantula-596/back/normal
Grass,Steel,pokemon_images/sprites/0727-Ferroseed-597/front/normal,pokemon_images/sprites/0727-Ferroseed-597/back/normal
Grass,Steel,pokemon_images/sprites/0728-Ferrothorn-598/front/normal,pokemon_images/sprites/0728-Ferrothorn-598/back/normal
Steel,,pokemon_images/sprites/0729-Klink-599/front/normal,pokemon_images/sprites/0729-Klink-599/back/normal
Steel,,pokemon_images/sprites/0730-Klang-600/front/normal,pokemon_images/sprites/0730-Klang-600/back/normal
Steel,,pokemon_images/sprites/0731-Klinklang-601/front/normal,pokemon_images/sprites/0731-Klinklang-601/back/normal
Electric,,pokemon_images/sprites/0732-Tynamo-602/front/normal,pokemon_images/sprites/0732-Tynamo-602/back/normal
Electric,,pokemon_images/sprites/0733-Eelektrik-603/front/normal,pokemon_images/sprites/0733-Eelektrik-603/back/normal
Electric,,pokemon_images/sprites/0734-Eelektross-604/front/normal,pokemon_images/sprites/0734-Eelektross-604/back/normal
Psychic,,pokemon_images/sprites/0735-Elgyem-605/front/normal,pokemon_images/sprites/0735-Elgyem-605/back/normal
Psychic,,pokemon_images/sprites/0736-Beheeyem-606/front/normal,pokemon_images/sprites/0736-Beheeyem-606/back/normal
Ghost,Fire,pokemon_images/sprites/0737-Litwick-607/front/normal,pokemon_images/sprites/0737-Litwick-607/back/normal
Ghost,Fire,pokemon_images/sprites/0738-Lampent-608/front/normal,pokemon_images/sprites/0738-Lampent-608/back/normal
Ghost,Fire,pokemon_images/sprites/0739-Chandelure-609/front/normal,pokemon_images/sprites/0739-Chandelure-609/back/normal
Dragon,,pokemon_images/sprites/0740-Axew-610/front/normal,pokemon_images/sprites/0740-Axew-610/back/normal
Dragon,,pokemon_images/sprites/0741-Fraxure-611/front/normal,pokemon_images/sprites/0741-Fraxure-611/back/normal
Dragon,,pokemon_images/sprites/0742-Haxorus-612/front/normal,pokemon_images/sprites/0742-Haxorus-612/back/normal
Ice,,pokemon_images/sprites/0743-Cubchoo-613/front/normal,pokemon_images/sprites/0743-Cubchoo-613/back/normal
Ice,,pokemon_images/sprites/0744-Beartic-614/front/normal,pokemon_images/sprites/0744-Beartic-614/back/normal
Ice,,pokemon_images/sprites/0745-Cryogonal-615/front/normal,pokemon_images/sprites/0745-Cryogonal-615/back/normal
Bug,,pokemon_images/sprites/0746-Shelmet-616/front/normal,pokemon_images/sprites/0746-Shelmet-616/back/normal
Bug,,pokemon_images/sprites/0747-Accelgor-617/front/normal,pokemon_images/sprites/0747-Accelgor-617/back/normal
Ground,Electric,pokemon_images/sprites/0748-Stunfisk-618/front/normal,pokemon_images/sprites/0748-Stunfisk-618/back/normal
Ground,Steel,pokemon_images/sprites/0749-Stunfisk Galar-618/front/normal,pokemon_images/sprites/0749-Stunfisk Galar-618/back/normal
Fighting,,pokemon_images/sprites/0750-Mienfoo-619/front/normal,pokemon_images/sprites/0750-Mienfoo-619/back/normal
Fighting,,pokemon_images/sprites/0751-Mienshao-620/front/normal,pokemon_images/sprites/0751-Mienshao-620/back/normal
Dragon,,pokemon_images/sprites/0752-Druddigon-621/front/normal,pokemon_images/sprites/0752-Druddigon-621/back/normal
Ground,Ghost,pokemon_images/sprites/0753-Golett-622/front/normal,pokemon_images/sprites/0753-Golett-622/back/normal
Ground,Ghost,pokemon_images/sprites/0754-Golurk-623/front/normal,pokemon_images/sprites/0754-Golurk-623/back/normal
Dark,Steel,pokemon_images/sprites/0755-Pawniard-624/front/normal,pokemon_images/sprites/0755-Pawniard-624/back/normal
Dark,Steel,pokemon_images/sprites/0756-Bisharp-625/front/normal,pokemon_images/sprites/0756-Bisharp-625/back/normal
Normal,,pokemon_images/sprites/0757-Bouffalant-626/front/normal,pokemon_images/sprites/0757-Bouffalant-626/back/normal
Normal,Flying,pokemon_images/sprites/0758-Rufflet-627/front/normal,pokemon_images/sprites/0758-Rufflet-627/back/normal
Normal,Flying,pokemon_images/sprites/0759-Braviary-628/front/normal,pokemon_images/sprites/0759-Braviary-628/back/normal
Dark,Flying,pokemon_images/sprites/0760-Vullaby-629/front/normal,pokemon_images/sprites/0760-Vullaby-629/back/normal
Dark,Flying,pokemon_images/sprites/0761-Mandibuzz-630/front/normal,pokemon_images/sprites/0761-Mandibuzz-630/back/normal
Fire,,pokemon_images/sprites/0762-Heatmor-631/front/normal,pokemon_images/sprites/0762-Heatmor-631/back/normal
Bug,Steel,pokemon_images/sprites/0763-Durant-632/front/normal,pokemon_images/sprites/0763-Durant-632/back/normal
Dark,Dragon,pokemon_images/sprites/0764-Deino-633/front/normal,pokemon_images/sprites/0764-Deino-633/back/normal
Dark,Dragon,pokemon_images/sprites/0765-Zweilous-634/front/normal,pokemon_images/sprites/0765-Zweilous-634/back/normal
Dark,Dragon,pokemon_images/sprites/0766-Hydreigon-635/front/normal,pokemon_images/sprites/0766-Hydreigon-635/back/normal
Bug,Fire,pokemon_images/sprites/0767-Larvesta-636/front/normal,pokemon_images/sprites/0767-Larvesta-636/back/normal
Bug,Fire,pokemon_images/sprites/0768-Volcarona-637/front/normal,pokemon_images/sprites/0768-Volcarona-637/back/normal
